Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc,capsule_14_original,capsule_15a_original,capsule_15b_original,capsule_15c_original,capsule_15f_original
group_30,,[gene=wzx] [locus_tag=SPC14_0015] [db_xref=GOA:O07342InterPro:IPR002797UniProtKB/TrEMBL:O07342][protein=flippase Wzx] [protein_id=CAI33328.1] [location=11189..12652][gbkey=CDS];[gene=wzx] [locus_tag=SPC15F_0015] [db_xref=GOA:Q4K1J8InterPro:IPR002797UniProtKB/TrEMBL:Q4K1J8][protein=flippase Wzx] [protein_id=CAI33416.1] [location=11587..13050][gbkey=CDS],5,5,1.0,1,31,,,,1428,1464,1456.8,NDPKPFJF_00013,NKOENCHL_00014,IDIIDKBK_00014,IEAEIHEH_00014,HLEPHCOM_00015
group_29,,[gene=wchN] [locus_tag=SPC14_0014] [db_xref=GOA:O07341InterPro:IPR008441UniProtKB/TrEMBL:O07341][protein=putative glycosyl transferase] [protein_id=CAI33327.1][location=10348..11196] [gbkey=CDS];[gene=wchN] [locus_tag=SPC15F_0014] [db_xref=GOA:Q4K1J9InterPro:IPR008441UniProtKB/TrEMBL:Q4K1J9][protein=putative glycosyl transferase] [protein_id=CAI33415.1][location=10674..11582] [gbkey=CDS],5,5,1.0,1,30,,,,849,909,897.0,NDPKPFJF_00012,NKOENCHL_00013,IDIIDKBK_00013,IEAEIHEH_00013,HLEPHCOM_00014
group_28,,[gene=wchM] [locus_tag=SPC14_0013] [db_xref=GOA:O07340InterPro:IPR001173UniProtKB/TrEMBL:O07340][protein=putative glycosyl transferase] [protein_id=CAI33326.1][location=9304..10260] [gbkey=CDS];[gene=wchM] [locus_tag=SPC15A_0013] [db_xref=GOA:Q4K1Q5InterPro:IPR001173UniProtKB/TrEMBL:Q4K1Q5][protein=putative glycosyl transferase] [protein_id=CAI33345.1][location=9351..10307] [gbkey=CDS],5,5,1.0,1,29,,,,957,957,957.0,NDPKPFJF_00011,NKOENCHL_00012,IDIIDKBK_00012,IEAEIHEH_00012,HLEPHCOM_00013
group_26,,[gene=wchL] [locus_tag=SPC14_0012] [db_xref=GOA:Q4K1S2InterPro:IPR001173UniProtKB/TrEMBL:Q4K1S2][protein=putative glycosyl transferase] [protein_id=CAI33325.1][location=8270..9289] [gbkey=CDS];[gene=wchL] [locus_tag=SPC15F_0012] [db_xref=GOA:Q4K1K1InterPro:IPR001173UniProtKB/TrEMBL:Q4K1K1][protein=putative glycosyl transferase] [protein_id=CAI33413.1][location=8666..9694] [gbkey=CDS];[gene=wchL] [locus_tag=SPC15C_0012] [db_xref=GOA:Q4K1L9InterPro:IPR001173UniProtKB/TrEMBL:Q4K1L9][protein=putative glycosyl transferase] [protein_id=CAI33390.1][location=8274..9299] [gbkey=CDS],5,5,1.0,1,27,,,,1020,1029,1026.0,NDPKPFJF_00010,NKOENCHL_00011,IDIIDKBK_00011,IEAEIHEH_00011,HLEPHCOM_00012
group_23,,[gene=wzg] [locus_tag=SPC15A_0004] [db_xref=GOA:Q4K1R4InterPro:IPR004190InterPro:IPR004474UniProtKB/TrEMBL:Q4K1R4][protein=integral membrane regulatory protein Wzg] [protein_id=CAI33336.1] [location=1202..2647][gbkey=CDS];[gene=wzg] [locus_tag=SPC14_0004] [db_xref=GOA:Q9R928InterPro:IPR004190InterPro:IPR004474UniProtKB/TrEMBL:Q9R928][protein=integral membrane regulatory protein Wzg] [protein_id=CAI33317.1] [location=1200..2645][gbkey=CDS],5,5,1.0,1,24,,,,1446,1446,1446.0,NDPKPFJF_00002,NKOENCHL_00003,IDIIDKBK_00003,IEAEIHEH_00003,HLEPHCOM_00004
group_22,,[gene=wchK] [locus_tag=SPC14_0010] [db_xref=GOA:Q4K1S4InterPro:IPR007235UniProtKB/TrEMBL:Q4K1S4][protein=putative glycosyl transferase] [protein_id=CAI33323.1][location=6608..7111] [gbkey=CDS];[gene=wchK] [locus_tag=SPC15F_0010] [db_xref=GOA:Q4K1K3InterPro:IPR007235UniProtKB/TrEMBL:Q4K1K3][protein=putative glycosyl transferase] [protein_id=CAI33411.1][location=6966..7472] [gbkey=CDS];[gene=wchK] [locus_tag=SPC15C_0010] [db_xref=GOA:Q4K1M1InterPro:IPR007235UniProtKB/TrEMBL:Q4K1M1][protein=putative glycosyl transferase] [protein_id=CAI33388.1][location=6612..7115] [gbkey=CDS],5,5,1.0,1,23,,,,504,507,505.2,NDPKPFJF_00008,NKOENCHL_00009,IDIIDKBK_00009,IEAEIHEH_00009,HLEPHCOM_00010
group_21,,[gene=wzh] [locus_tag=SPC15A_0005] [db_xref=GOA:Q4K1R3InterPro:IPR004013InterPro:IPR016667UniProtKB/TrEMBL:Q4K1R3][protein=protein-tyrosine phosphatase Wzh] [protein_id=CAI33337.1] [location=2649..3380] [gbkey=CDS];[gene=wzh] [locus_tag=SPC14_0005] [db_xref=GOA:Q4K1S9InterPro:IPR004013InterPro:IPR016667UniProtKB/TrEMBL:Q4K1S9][protein=protein-tyrosine phosphatase Wzh] [protein_id=CAI33318.1] [location=2647..3378] [gbkey=CDS];[gene=wzh] [locus_tag=SPC15B_0005] [db_xref=GOA:Q4K1P5InterPro:IPR004013InterPro:IPR016667UniProtKB/TrEMBL:Q4K1P5][protein=protein-tyrosine phosphatase Wzh] [protein_id=CAI33360.1] [location=2651..3382] [gbkey=CDS],5,5,1.0,1,22,,,,732,732,732.0,NDPKPFJF_00003,NKOENCHL_00004,IDIIDKBK_00004,IEAEIHEH_00004,HLEPHCOM_00005
group_20,,[gene=wchJ] [locus_tag=SPC14_0009] [db_xref=GOA:P72514InterPro:IPR013969UniProtKB/TrEMBL:P72514][protein=putative glycosyl transferase enhancer] [protein_id=CAI33322.1][location=6159..6608] [gbkey=CDS];[gene=wchJ] [locus_tag=SPC15F_0009] [db_xref=GOA:Q4K1K4InterPro:IPR013969UniProtKB/TrEMBL:Q4K1K4][protein=putative glycosyl transferase enhancer] [protein_id=CAI33410.1][location=6517..6966] [gbkey=CDS],5,5,1.0,1,21,,,,450,450,450.0,NDPKPFJF_00007,NKOENCHL_00008,IDIIDKBK_00008,IEAEIHEH_00008,HLEPHCOM_00009
group_19,,[gene=wzd] [locus_tag=SPC15F_0006] [db_xref=GOA:Q4K1K7InterPro:IPR003856InterPro:IPR005701UniProtKB/TrEMBL:Q4K1K7][protein=capsular polysaccharide biosynthesis protein Wzd] [protein_id=CAI33407.1] [location=3740..4432][gbkey=CDS];[gene=wzd] [locus_tag=SPC14_0006] [db_xref=GOA:Q4K1S8InterPro:IPR003856InterPro:IPR005701UniProtKB/TrEMBL:Q4K1S8][protein=capsular polysaccharide biosynthesis protein Wzd] [protein_id=CAI33319.1] [location=3387..4079][gbkey=CDS];[gene=wzd] [locus_tag=SPC15C_0006] [db_xref=GOA:Q4K1M5InterPro:IPR003856InterPro:IPR005701UniProtKB/TrEMBL:Q4K1M5][protein=capsular polysaccharide biosynthesis protein Wzd] [protein_id=CAI33384.1] [location=3391..4083][gbkey=CDS],5,5,1.0,1,20,,,,693,693,693.0,NDPKPFJF_00004,NKOENCHL_00005,IDIIDKBK_00005,IEAEIHEH_00005,HLEPHCOM_00006
group_18,,[gene=wchA] [locus_tag=SPC14_0008] [db_xref=GOA:P72513InterPro:IPR003362InterPro:IPR017475UniProtKB/TrEMBL:P72513][protein=undecaprenylphosphate glucosephosphotransferase WchA (initial sugar transferase)] [protein_id=CAI33321.1][location=4788..6155] [gbkey=CDS];[gene=wchA] [locus_tag=SPC15A_0008] [db_xref=GOA:Q4K1R0InterPro:IPR003362InterPro:IPR017475UniProtKB/TrEMBL:Q4K1R0][protein=undecaprenylphosphate glucosephosphotransferase WchA (initial sugar transferase)] [protein_id=CAI33340.1][location=4795..6162] [gbkey=CDS];[gene=wchA] [locus_tag=SPC15C_0008] [db_xref=GOA:Q4K1M3InterPro:IPR003362InterPro:IPR017475UniProtKB/TrEMBL:Q4K1M3][protein=undecaprenylphosphate glucosephosphotransferase WchA (initial sugar transferase)] [protein_id=CAI33386.1][location=4792..6159] [gbkey=CDS],5,5,1.0,1,19,,,,1368,1368,1368.0,NDPKPFJF_00006,NKOENCHL_00007,IDIIDKBK_00007,IEAEIHEH_00007,HLEPHCOM_00008
